Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,29.703751,29.703751,29.703751,29.703751,27.716400,0
2020-01-03,29.325001,29.325001,29.325001,29.325001,27.362989,31200
2020-01-06,29.325001,29.325001,29.286249,29.286249,27.326834,4800
2020-01-07,29.943750,29.943750,29.943750,29.943750,27.940346,13600
2020-01-08,29.893749,29.893749,29.893749,29.893749,27.893690,24000
2020-01-09,29.893749,29.893749,29.893749,29.893749,27.893690,0
2020-01-10,30.080000,30.080000,30.080000,30.080000,28.067480,1600
2020-01-13,30.080000,30.080000,30.080000,30.080000,28.067480,0
2020-01-14,30.080000,30.080000,30.080000,30.080000,28.067480,0
2020-01-15,30.397499,30.397499,30.397499,30.397499,28.363733,4000
2020-01-16,30.397499,30.397499,30.397499,30.397499,28.363733,0
2020-01-17,30.674999,30.674999,30.674999,30.674999,28.622665,12000
2020-01-20,30.674999,30.674999,30.674999,30.674999,28.622665,0
2020-01-21,30.674999,30.743750,30.674999,30.743750,28.686817,4800
2020-01-22,30.846251,30.846251,30.846251,30.846251,28.782461,2400
2020-01-23,30.846251,30.846251,30.846251,30.846251,28.782461,0
2020-01-24,30.316250,30.316250,30.316250,30.316250,28.287918,11200
2020-01-27,30.316250,30.316250,30.316250,30.316250,28.287918,0
2020-01-28,29.698750,29.698750,29.698750,29.698750,27.711735,8000
2020-01-29,29.698750,29.698750,29.698750,29.698750,27.711735,0
2020-01-30,29.662500,29.662500,29.662500,29.662500,27.677910,2400
2020-01-31,29.662500,29.662500,29.662500,29.662500,27.677910,0
2020-02-03,29.260000,29.260000,29.260000,29.260000,27.302340,800
2020-02-04,29.260000,29.260000,29.260000,29.260000,27.302340,0
2020-02-05,30.562500,30.787500,30.562500,30.708750,28.654158,2400
2020-02-06,31.087500,31.125000,30.813749,30.813749,28.752132,4800
2020-02-07,30.558750,30.558750,30.558750,30.558750,28.514200,9600
2020-02-10,30.600000,30.600000,30.600000,30.600000,28.552683,3200
2020-02-11,30.600000,30.600000,30.600000,30.600000,28.552683,0
2020-02-12,32.231251,32.231251,32.231251,32.231251,30.074797,13600
2020-02-13,32.325001,32.325001,32.325001,32.325001,30.162273,16800
2020-02-14,32.325001,32.325001,32.325001,32.325001,30.162273,0
2020-02-17,32.325001,32.325001,32.325001,32.325001,30.162273,0
2020-02-18,30.562500,30.562500,30.327499,30.327499,28.298418,3600
2020-02-19,31.650000,31.650000,31.650000,31.650000,29.532434,640
2020-02-20,31.059999,31.059999,31.059999,31.059999,28.981909,3200
2020-02-21,31.059999,31.059999,31.059999,31.059999,28.981909,0
2020-02-25,31.059999,31.059999,31.059999,31.059999,28.981909,0
2020-02-26,31.059999,31.059999,31.059999,31.059999,28.981909,0
2020-02-27,30.318750,30.318750,30.318750,30.318750,28.290255,1600
2020-02-28,30.318750,30.318750,30.318750,30.318750,28.290255,0
2020-03-02,31.087500,31.087500,30.953751,31.047501,28.970249,12560
2020-03-03,31.047501,31.047501,31.047501,31.047501,28.970249,0
2020-03-04,31.481251,31.481251,31.481251,31.481251,29.374973,80
2020-03-05,32.043751,32.343750,32.043751,32.343750,30.179770,12960
2020-03-06,32.343750,32.343750,32.343750,32.343750,30.179770,0
2020-03-09,32.343750,32.343750,32.343750,32.343750,30.179770,0
2020-03-10,30.978750,30.978750,30.978750,30.978750,28.906096,8000
2020-03-11,30.912500,31.143749,30.912500,31.143749,29.060057,65600
2020-03-12,31.143749,31.143749,31.143749,31.143749,29.060057,0
2020-03-13,30.232500,30.232500,30.232500,30.232500,28.209776,7200
2020-03-16,30.232500,30.232500,30.232500,30.232500,28.209776,0
2020-03-17,30.232500,30.232500,30.232500,30.232500,28.209776,0
2020-03-18,28.377501,28.377501,28.377501,28.377501,26.478886,9600
2020-03-19,28.413750,28.413750,28.413750,28.413750,26.769417,28000
2020-03-20,28.413750,28.413750,28.413750,28.413750,26.769417,0
2020-03-23,28.413750,28.413750,28.413750,28.413750,26.769417,0
2020-03-24,30.592501,30.592501,30.592501,30.592501,28.822081,16000
2020-03-25,30.592501,30.592501,30.592501,30.592501,28.822081,0
2020-03-26,30.592501,30.592501,30.592501,30.592501,28.822081,0
2020-03-27,30.592501,30.592501,30.592501,30.592501,28.822081,0
2020-03-30,30.592501,30.592501,30.592501,30.592501,28.822081,0
2020-03-31,30.592501,30.592501,30.592501,30.592501,28.822081,0
2020-04-01,30.900000,30.900000,30.900000,30.900000,29.111782,480
