Date,Open,High,Low,Close,Adj Close,Volume
2020-07-02,1.320000,1.320000,1.290000,1.320000,1.320000,19300
2020-07-06,1.320000,1.350000,1.320000,1.340000,1.340000,55500
2020-07-07,1.310000,1.360000,1.300000,1.300000,1.300000,55900
2020-07-08,1.330000,1.340000,1.300000,1.330000,1.330000,40800
2020-07-09,1.340000,1.360000,1.310000,1.340000,1.340000,37800
2020-07-10,1.310000,1.330000,1.310000,1.310000,1.310000,23500
2020-07-13,1.290000,1.330000,1.240000,1.250000,1.250000,39900
2020-07-14,1.280000,1.320000,1.240000,1.320000,1.320000,54500
2020-07-15,1.320000,1.320000,1.250000,1.270000,1.270000,50300
2020-07-16,1.260000,1.300000,1.230000,1.260000,1.260000,47700
2020-07-17,1.280000,1.290000,1.250000,1.270000,1.270000,23000
2020-07-20,1.280000,1.280000,1.250000,1.280000,1.280000,15300
2020-07-21,1.270000,1.280000,1.250000,1.260000,1.260000,26700
2020-07-22,1.240000,1.270000,1.220000,1.250000,1.250000,40400
2020-07-23,1.260000,1.290000,1.250000,1.260000,1.260000,27800
2020-07-24,1.270000,1.290000,1.250000,1.250000,1.250000,24200
2020-07-27,1.260000,1.300000,1.260000,1.280000,1.280000,16300
2020-07-28,1.310000,1.310000,1.260000,1.290000,1.290000,20000
2020-07-29,1.300000,1.320000,1.270000,1.300000,1.300000,31000
2020-07-30,1.290000,1.420000,1.290000,1.370000,1.370000,245200
2020-07-31,1.410000,1.440000,1.370000,1.380000,1.380000,138400
2020-08-03,1.420000,2.710000,1.380000,1.540000,1.540000,6046200
2020-08-04,1.450000,1.580000,1.350000,1.490000,1.490000,438800
2020-08-05,1.440000,1.470000,1.380000,1.420000,1.420000,66700
2020-08-06,1.420000,1.450000,1.390000,1.430000,1.430000,68400
2020-08-07,1.430000,1.450000,1.390000,1.450000,1.450000,53400
2020-08-10,1.440000,1.450000,1.400000,1.420000,1.420000,76900
2020-08-11,1.400000,1.440000,1.320000,1.340000,1.340000,142400
2020-08-12,1.350000,1.420000,1.350000,1.420000,1.420000,52400
2020-08-13,1.380000,1.420000,1.350000,1.390000,1.390000,62900
2020-08-14,1.360000,1.390000,1.360000,1.380000,1.380000,19600
2020-08-17,1.370000,1.370000,1.330000,1.370000,1.370000,4363000
2020-08-18,2.180000,2.570000,1.600000,1.770000,1.770000,37315500
2020-08-19,1.620000,1.860000,1.520000,1.850000,1.850000,1677700
2020-08-20,1.740000,1.760000,1.650000,1.680000,1.680000,372400
2020-08-21,1.650000,1.680000,1.560000,1.590000,1.590000,342800
2020-08-24,1.640000,1.670000,1.510000,1.610000,1.610000,175200
2020-08-25,1.560000,1.650000,1.550000,1.650000,1.650000,137200
2020-08-26,1.650000,1.660000,1.600000,1.630000,1.630000,132700
2020-08-27,1.520000,1.660000,1.520000,1.580000,1.580000,199200
2020-08-28,1.620000,1.650000,1.600000,1.610000,1.610000,73400
2020-08-31,1.630000,1.700000,1.580000,1.620000,1.620000,93000
2020-09-01,1.620000,1.630000,1.560000,1.600000,1.600000,61600
2020-09-02,1.600000,1.600000,1.550000,1.560000,1.560000,47800
2020-09-03,1.540000,1.550000,1.490000,1.500000,1.500000,122500
2020-09-04,1.490000,1.550000,1.480000,1.520000,1.520000,88500
2020-09-08,1.480000,1.540000,1.480000,1.510000,1.510000,41400
2020-09-09,1.500000,1.560000,1.500000,1.510000,1.510000,74000
2020-09-10,1.500000,1.530000,1.490000,1.490000,1.490000,50100
2020-09-11,1.520000,1.520000,1.450000,1.450000,1.450000,57800
2020-09-14,1.450000,1.450000,1.370000,1.400000,1.400000,90200
2020-09-15,1.400000,1.460000,1.400000,1.400000,1.400000,45900
2020-09-16,1.410000,1.430000,1.410000,1.420000,1.420000,37200
2020-09-17,1.420000,1.470000,1.400000,1.450000,1.450000,103300
2020-09-18,1.430000,1.450000,1.420000,1.440000,1.440000,41600
2020-09-21,1.450000,1.450000,1.360000,1.370000,1.370000,62400
2020-09-22,1.370000,1.910000,1.350000,1.490000,1.490000,3247700
2020-09-23,1.450000,1.490000,1.360000,1.380000,1.380000,289400
2020-09-24,1.380000,1.380000,1.320000,1.350000,1.350000,72900
2020-09-25,1.350000,1.420000,1.350000,1.410000,1.410000,83900
2020-09-28,1.410000,1.420000,1.380000,1.420000,1.420000,59300
2020-09-29,1.410000,1.420000,1.390000,1.410000,1.410000,30400
2020-09-30,1.400000,1.420000,1.390000,1.390000,1.390000,57600
2020-10-01,1.410000,1.420000,1.390000,1.410000,1.410000,54500
2020-10-02,1.410000,1.450000,1.380000,1.440000,1.440000,66100
2020-10-05,1.460000,1.510000,1.430000,1.470000,1.470000,103300
2020-10-06,1.470000,1.500000,1.440000,1.440000,1.440000,70600
2020-10-07,1.450000,1.520000,1.450000,1.470000,1.470000,53800
2020-10-08,1.480000,1.500000,1.450000,1.500000,1.500000,32300
2020-10-09,1.510000,1.730000,1.480000,1.630000,1.630000,1080800
2020-10-12,1.640000,1.650000,1.540000,1.610000,1.610000,209300
2020-10-13,1.640000,1.640000,1.510000,1.570000,1.570000,140500
2020-10-14,1.570000,1.570000,1.470000,1.510000,1.510000,131400
2020-10-15,1.490000,1.510000,1.470000,1.500000,1.500000,44000
2020-10-16,1.500000,1.990000,1.490000,1.700000,1.700000,5433600
2020-10-19,1.620000,1.650000,1.510000,1.530000,1.530000,602400
2020-10-20,1.520000,1.550000,1.450000,1.500000,1.500000,191600
2020-10-21,1.500000,1.540000,1.470000,1.530000,1.530000,159200
2020-10-22,1.550000,1.590000,1.490000,1.550000,1.550000,93300
2020-10-23,1.570000,1.590000,1.500000,1.500000,1.500000,70300
2020-10-26,1.510000,1.520000,1.450000,1.460000,1.460000,247900
2020-10-27,1.460000,1.540000,1.460000,1.520000,1.520000,50500
2020-10-28,1.530000,1.530000,1.460000,1.500000,1.500000,62200
2020-10-29,1.540000,1.550000,1.510000,1.550000,1.550000,71800
2020-10-30,1.520000,1.540000,1.480000,1.520000,1.520000,45400
2020-11-02,1.540000,1.540000,1.500000,1.530000,1.530000,35500
2020-11-03,1.620000,1.620000,1.540000,1.570000,1.570000,109800
2020-11-04,1.550000,1.610000,1.550000,1.570000,1.570000,46500
2020-11-05,1.540000,1.620000,1.540000,1.590000,1.590000,75500
