Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,56400.000000,56500.000000,55700.000000,56400.000000,52407.480469,17651593
2020-08-27,56300.000000,56300.000000,55600.000000,55600.000000,51664.105469,16196568
2020-08-28,56100.000000,56300.000000,55400.000000,55400.000000,51478.269531,14619888
2020-08-31,56000.000000,56100.000000,54000.000000,54000.000000,50177.371094,32671367
2020-09-01,54100.000000,54800.000000,54100.000000,54200.000000,50363.207031,19363117
2020-09-02,54600.000000,55100.000000,54100.000000,54400.000000,50549.058594,16905723
2020-09-03,55600.000000,56700.000000,55500.000000,56400.000000,52407.480469,28384920
2020-09-04,55200.000000,55800.000000,55100.000000,55600.000000,51664.105469,22139109
2020-09-07,56100.000000,57300.000000,55800.000000,56500.000000,52500.398438,18685880
2020-09-08,57400.000000,58700.000000,57200.000000,58700.000000,54544.660156,31517520
2020-09-09,58200.000000,59300.000000,57800.000000,58400.000000,54265.902344,30597399
2020-09-10,59900.000000,60000.000000,59100.000000,59200.000000,55009.265625,29923293
2020-09-11,59300.000000,59400.000000,58200.000000,59000.000000,54823.421875,16017098
2020-09-14,60200.000000,60800.000000,59900.000000,60400.000000,56124.320313,20648281
2020-09-15,60900.000000,61000.000000,60500.000000,61000.000000,56681.839844,17877075
2020-09-16,61100.000000,61300.000000,60600.000000,61000.000000,56681.839844,17041444
2020-09-17,60700.000000,60800.000000,59300.000000,59500.000000,55288.031250,25108356
2020-09-18,59800.000000,59900.000000,59100.000000,59300.000000,55102.187500,18884571
2020-09-21,59100.000000,60000.000000,59000.000000,59200.000000,55009.265625,15140387
2020-09-22,59100.000000,59700.000000,57800.000000,58200.000000,54080.054688,20830381
2020-09-23,58400.000000,58800.000000,57400.000000,58600.000000,54451.742188,20111398
2020-09-24,57700.000000,58600.000000,57600.000000,57800.000000,53708.375000,17564020
2020-09-25,57700.000000,58200.000000,57700.000000,57900.000000,53801.296875,11444683
2020-09-28,58300.000000,58800.000000,57900.000000,58200.000000,54412.742188,12614080
2020-09-29,58300.000000,59000.000000,58200.000000,58200.000000,54412.742188,15503563
2020-10-05,57500.000000,59200.000000,57500.000000,58700.000000,54880.203125,20228289
2020-10-06,59400.000000,59900.000000,58700.000000,59000.000000,55160.671875,14463826
2020-10-07,58700.000000,59900.000000,58500.000000,59900.000000,56002.105469,14861838
2020-10-08,60500.000000,60700.000000,59500.000000,59700.000000,55815.121094,24589924
2020-10-12,60000.000000,60400.000000,59900.000000,60400.000000,56469.578125,16145837
2020-10-13,61000.000000,61400.000000,60400.000000,60900.000000,56937.035156,19247631
2020-10-14,61000.000000,61100.000000,60500.000000,60900.000000,56937.035156,16086716
2020-10-15,60700.000000,60800.000000,59700.000000,60000.000000,56095.601563,17756232
2020-10-16,60000.000000,60400.000000,59000.000000,59500.000000,55628.148438,16554190
2020-10-19,59600.000000,60200.000000,59500.000000,60000.000000,56095.601563,14474985
2020-10-20,60300.000000,60900.000000,60100.000000,60900.000000,56937.035156,19326115
2020-10-21,61200.000000,61500.000000,60600.000000,60900.000000,56937.035156,15703443
2020-10-22,60300.000000,60500.000000,59800.000000,60100.000000,56189.093750,14294095
2020-10-23,60400.000000,60400.000000,59800.000000,60200.000000,56282.589844,9322232
2020-10-26,60400.000000,61100.000000,60100.000000,60400.000000,56469.578125,13268226
2020-10-27,60300.000000,60300.000000,59500.000000,59800.000000,55908.613281,17260416
2020-10-28,59400.000000,59400.000000,58800.000000,59000.000000,55160.671875,14428882
2020-10-29,58200.000000,58500.000000,57500.000000,58100.000000,54319.246094,22636966
2020-10-30,58000.000000,58000.000000,56600.000000,56600.000000,52916.851563,26907844
2020-11-02,56400.000000,57500.000000,56000.000000,57400.000000,53664.789063,20489076
2020-11-03,57900.000000,58900.000000,57600.000000,58800.000000,54973.691406,14950919
2020-11-04,58900.000000,59000.000000,57800.000000,58500.000000,54693.214844,21718561
2020-11-05,59000.000000,60300.000000,58800.000000,60300.000000,56376.078125,20639475
2020-11-06,60700.000000,60800.000000,59600.000000,60100.000000,56189.093750,16910230
2020-11-09,60700.000000,60900.000000,60100.000000,60200.000000,56282.589844,15892961
2020-11-10,60500.000000,60500.000000,59500.000000,60200.000000,56282.589844,19073552
2020-11-11,60700.000000,61400.000000,60400.000000,61300.000000,57311.007813,25628510
2020-11-12,61000.000000,61400.000000,60700.000000,61000.000000,57030.523438,19800573
2020-11-13,61300.000000,63200.000000,61000.000000,63200.000000,59087.367188,31508829
2020-11-16,64000.000000,66700.000000,63900.000000,66300.000000,61985.640625,36354334
2020-11-17,67000.000000,67000.000000,65600.000000,65700.000000,61424.679688,30204089
2020-11-18,65700.000000,66200.000000,64700.000000,64800.000000,60583.250000,22963790
2020-11-19,64100.000000,64800.000000,63900.000000,64600.000000,60396.261719,16590290
2020-11-20,63900.000000,65200.000000,63900.000000,64700.000000,60489.753906,15068682
2020-11-23,64800.000000,67800.000000,64700.000000,67500.000000,63107.546875,27134398
2020-11-24,67900.000000,69500.000000,67000.000000,67700.000000,63294.535156,32158235
2020-11-25,67900.000000,68300.000000,66500.000000,66600.000000,62266.121094,32447065
2020-11-26,66100.000000,68000.000000,66000.000000,68000.000000,63575.011719,19023323
2020-11-27,68000.000000,68400.000000,67600.000000,68200.000000,63762.003906,14063434
2020-11-30,68400.000000,68600.000000,66700.000000,66700.000000,62359.617188,43811016
2020-12-01,67100.000000,68300.000000,67100.000000,67800.000000,63388.027344,22327173
2020-12-02,68400.000000,69900.000000,68300.000000,69500.000000,64977.414063,29703942
2020-12-03,70100.000000,70500.000000,69300.000000,69700.000000,65164.390625,23677989
2020-12-04,70400.000000,72100.000000,70100.000000,71500.000000,66847.257813,28130533
2020-12-07,72400.000000,73500.000000,71900.000000,72900.000000,68156.148438,28490496
2020-12-08,72200.000000,72900.000000,71600.000000,71700.000000,67034.250000,25000338
2020-12-09,72100.000000,73900.000000,72000.000000,73900.000000,69091.093750,24077996
2020-12-10,72700.000000,73800.000000,72500.000000,72900.000000,68156.148438,39882928
2020-12-11,73500.000000,73800.000000,73100.000000,73400.000000,68623.617188,18486672
2020-12-14,73600.000000,74500.000000,73200.000000,73800.000000,68997.593750,21510415
2020-12-15,73800.000000,74100.000000,73300.000000,73800.000000,68997.593750,20863671
2020-12-16,74100.000000,74500.000000,73400.000000,73800.000000,68997.593750,17512081
2020-12-17,73400.000000,73700.000000,72600.000000,73300.000000,68530.125000,24293214
2020-12-18,73300.000000,73700.000000,73000.000000,73000.000000,68249.656250,17613029
2020-12-21,73100.000000,73400.000000,72000.000000,73000.000000,68249.656250,20367355
2020-12-22,72500.000000,73200.000000,72100.000000,72300.000000,67595.195313,16304910
2020-12-23,72400.000000,74000.000000,72300.000000,73900.000000,69091.093750,19411326
2020-12-24,74100.000000,78800.000000,74000.000000,77800.000000,72737.296875,32502870
2020-12-28,79000.000000,80100.000000,78200.000000,78700.000000,73578.734375,40085044
2020-12-29,78800.000000,78900.000000,77300.000000,78300.000000,75047.093750,30339449
2020-12-30,77400.000000,81300.000000,77300.000000,81000.000000,77634.921875,29417421
2021-01-04,81000.000000,84400.000000,80200.000000,83000.000000,79551.835938,38655276
2021-01-05,81600.000000,83900.000000,81600.000000,83900.000000,80414.453125,35335669
2021-01-06,83300.000000,84500.000000,82100.000000,82200.000000,78785.062500,42089013
2021-01-07,82800.000000,84200.000000,82700.000000,82900.000000,79455.984375,32644642
2021-01-08,83300.000000,90000.000000,83000.000000,88800.000000,85110.875000,59013307
2021-01-11,90000.000000,96800.000000,89500.000000,91000.000000,87219.476563,90306177
2021-01-12,90300.000000,91400.000000,87800.000000,90600.000000,86836.093750,48682416
2021-01-13,89800.000000,91200.000000,89100.000000,89700.000000,85973.492188,36068848
2021-01-14,88700.000000,90000.000000,88700.000000,89700.000000,85973.492188,26393970
2021-01-15,89800.000000,91800.000000,88000.000000,88000.000000,84344.109375,33431809
2021-01-18,86600.000000,87300.000000,84100.000000,85000.000000,81468.742188,43227951
2021-01-19,84500.000000,88000.000000,83600.000000,87000.000000,83385.656250,39895044
2021-01-20,89000.000000,89000.000000,86500.000000,87200.000000,83577.343750,25211127
2021-01-21,87500.000000,88600.000000,86500.000000,88100.000000,84439.960938,25318011
2021-01-22,89000.000000,89700.000000,86800.000000,86800.000000,83193.960938,30861661
2021-01-25,87000.000000,89900.000000,86300.000000,89400.000000,85685.945313,27258534
2021-01-26,88800.000000,89200.000000,86500.000000,86700.000000,83098.109375,33178936
2021-01-27,86600.000000,87700.000000,85600.000000,85600.000000,82043.828125,26423070
2021-01-28,83200.000000,85600.000000,83200.000000,83700.000000,80222.742188,31859808
2021-01-29,84500.000000,85000.000000,82000.000000,82000.000000,78593.382813,39615978
